period_flag,category_raw,value
CORE,스토킹범죄의처벌등에관한법률 / 발생건수[건],23652.0
CORE,대기환경보전법 / 남자검거인원[명],23573.0
CORE,폭행 / 미상검거인원[명],23387.0
CORE,실화 / 발생건수[건],23319.0
CORE,산지관리법 / 남자검거인원[명],23192.0
CORE,출입국관리법 / 발생건수[건],23061.0
CORE,장물 / 검거인원[명],23044.0
CORE,주민등록법 / 검거인원[명],22842.0
CORE,무고 / 여자검거인원[명],22754.0
CORE,과실치사상 / 검거건수[건],22619.0
CORE,업무상과실치상 / 검거건수[건],22592.0
CORE,강도 / 검거인원[명],22519.0
CORE,화물자동차 운수사업법 / 남자검거인원[명],22485.0
CORE,고용보험법 / 발생건수[건],22463.0
CORE,자동차관리법 / 여자검거인원[명],22426.0
CORE,스토킹범죄의처벌등에관한법률 / 검거건수[건],22390.0
CORE,고용보험법 / 검거건수[건],22349.0
CORE,과실치상 / 검거건수[건],22307.0
CORE,스토킹범죄의처벌등에관한법률 / 검거인원[명],22269.0
CORE,건설산업기본법 / 검거인원[명],21959.0
CORE,주민등록법 / 발생건수[건],21909.0
CORE,상표법 / 남자검거인원[명],21680.0
CORE,직무유기 / 검거인원[명],21630.0
CORE,저작권법 / 여자검거인원[명],21624.0
CORE,출입국관리법 / 검거건수[건],21584.0
CORE,권리행사방해 / 여자검거인원[명],21535.0
CORE,간통,21480.0
CORE,감금 / 검거인원[명],21448.0
CORE,공무원범죄 / 검거건수[건],21214.0
CORE,폐기물관리법 / 검거인원[명],21176.0
CORE,화물자동차 운수사업법 / 발생건수[건],21164.0
CORE,업무상과실치사 / 검거인원[명],21007.0
CORE,약사법 / 검거인원[명],20927.0
CORE,화물자동차 운수사업법 / 검거건수[건],20884.0
CORE,감염병의 예방 및 관리에 관한법률 / 발생건수[건],20697.0
CORE,과실범죄 / 여자검거인원[명],20578.0
CORE,폐기물관리법 / 발생건수[건],20427.0
CORE,보험사기방지특별법 / 발생건수[건],20287.0
CORE,보험사기방지특별법 / 여자검거인원[명],20271.0
CORE,공연음란 / 검거건수[건],20148.0
CORE,공연음란 / 검거인원[명],20033.0
CORE,폭행치상 / 검거인원[명],19900.0
CORE,감염병의 예방 및 관리에 관한법률 / 검거건수[건],19837.0
CORE,실화,19833.0
CORE,출입국관리법 / 남자검거인원[명],19818.0
CORE,유사수신행위의 규제에 관한법률 / 검거인원[명],19766.0
CORE,실화 / 검거인원[명],19730.0
CORE,장물 / 남자검거인원[명],19697.0
CORE,공연음란 / 남자검거인원[명],19549.0
CORE,형법범 / 발생비[건/10만명],19470.9
CORE,공인중개사법 / 검거인원[명],19391.0
CORE,폐기물관리법 / 검거건수[건],19243.0
CORE,보험사기방지특별법 / 검거건수[건],19230.0
CORE,강도 / 남자검거인원[명],19142.0
CORE,폐기물관리법 / 남자검거인원[명],19095.0
CORE,교통방해 / 검거인원[명],19045.0
CORE,강력범죄(폭력) / 미상검거인원[명],19037.0
CORE,건설산업기본법 / 남자검거인원[명],18756.0
CORE,수산자원관리법 / 발생건수[건],18570.0
CORE,체포와 감금 / 남자검거인원[명],18524.0
CORE,수산자원관리법 / 검거건수[건],18501.0
CORE,공직선거법 / 검거인원[명],18453.0
CORE,업무상과실치사 / 남자검거인원[명],18354.0
CORE,고용보험법 / 남자검거인원[명],18237.0
CORE,대부업 등의 등록 및 금융이용자 보호에 관한법률 / 검거인원[명],18236.0
CORE,마약류관리에 관한법률(향정) / 여자검거인원[명],18008.0
CORE,실화 / 검거건수[건],17991.0
CORE,보조금관리에 관한법률 / 검거인원[명],17977.0
CORE,스토킹범죄의처벌등에관한법률 / 남자검거인원[명],17810.0
CORE,부정수표단속법 / 발생건수[건],17699.0
CORE,국토의계획 및 이용에 관한법률 / 검거인원[명],17689.0
CORE,여신전문금융업법 / 검거인원[명],17538.0
CORE,상표법 / 여자검거인원[명],17134.0
CORE,공중위생관리법 / 검거인원[명],17086.0
CORE,개인정보보호법 / 발생건수[건],16975.0
CORE,과실치사상 / 남자검거인원[명],16925.0
CORE,마약류관리에 관한법률(대마) / 검거인원[명],16798.0
CORE,선박안전법 / 발생건수[건],16786.0
CORE,공중위생관리법 / 발생건수[건],16780.0
CORE,선박안전법 / 검거건수[건],16681.0
CORE,과실치상 / 남자검거인원[명],16625.0
CORE,감금 / 남자검거인원[명],16561.0
CORE,마약류관리에 관한법률(마약) / 검거인원[명],16553.0
CORE,방화,16517.0
CORE,폭행치상 / 남자검거인원[명],16460.0
CORE,공중위생관리법 / 검거건수[건],16350.0
CORE,주민등록법 / 검거건수[건],16268.0
CORE,개인정보보호법 / 남자검거인원[명],16137.0
CORE,마약류관리에 관한법률(마약) / 발생건수[건],16033.0
CORE,실화 / 남자검거인원[명],15999.0
CORE,교통방해 / 남자검거인원[명],15868.0
CORE,마약류관리에 관한법률(마약) / 검거건수[건],15746.0
CORE,직권남용 / 발생건수[건],15618.0
CORE,폭행치상 / 발생건수[건],15496.0
CORE,장물 / 발생건수[건],15331.0
CORE,교통방해 / 발생건수[건],15306.0
CORE,강력범죄(흉악) / 여자검거인원[명],15238.0
CORE,강도 / 발생건수[건],15222.0
CORE,폭행치상 / 검거건수[건],15084.0
CORE,주택법 / 검거인원[명],15059.0
CORE,강도 / 검거건수[건],15053.0
CORE,농지법 / 검거인원[명],15039.0
CORE,장물 / 검거건수[건],14999.0
CORE,공중밀집장소 추행 / 발생건수[건],14904.0
CORE,특별법범 / 발생비[건/10만명],14871.4
CORE,농수산물의 원산지표시에관한법률 / 남자검거인원[명],14798.0
CORE,교통방해 / 검거건수[건],14611.0
CORE,전기통신금융사기피해금환급에관한특별법 / 발생건수[건],14571.0
CORE,체포와 감금 / 발생건수[건],14530.0
CORE,국토의계획 및 이용에 관한법률 / 남자검거인원[명],14438.0
CORE,마약류관리에 관한법률(대마) / 남자검거인원[명],14357.0
